open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
61.45,65.65,59.53,65.03,31781900.0,002929.SZ,20260624,润建股份,NA,CNY
65.5,70.92,63.71,69.32,44233500.0,002929.SZ,20260625,润建股份,NA,CNY
67.28,69.5,62.39,62.83,31148300.0,002929.SZ,20260626,润建股份,NA,CNY
62.16,65.16,60.16,60.73,21466000.0,002929.SZ,20260629,润建股份,NA,CNY
61.38,66.8,60.13,66.8,17052400.0,002929.SZ,20260630,润建股份,NA,CNY
68.66,73.49,67.95,73.49,41047600.0,002929.SZ,20260701,润建股份,NA,CNY
71.91,74.14,69.27,69.57,36243700.0,002929.SZ,20260702,润建股份,NA,CNY
69.57,71.92,68.7,68.91,22688500.0,002929.SZ,20260703,润建股份,NA,CNY
68.91,69.91,63.37,63.68,21736500.0,002929.SZ,20260706,润建股份,NA,CNY
64.23,64.3,58.81,59.56,17082200.0,002929.SZ,20260707,润建股份,NA,CNY
59.56,60.69,56.43,58.07,16534900.0,002929.SZ,20260708,润建股份,NA,CNY
59.54,61.13,56.6,58.73,17373500.0,002929.SZ,20260709,润建股份,NA,CNY
58.05,64.61,57.59,61.43,24378600.0,002929.SZ,20260710,润建股份,NA,CNY
61.26,64.21,58.94,59.41,21946400.0,002929.SZ,20260713,润建股份,NA,CNY
59.41,60.65,53.47,56.63,20561400.0,002929.SZ,20260714,润建股份,NA,CNY
57.6,59.43,56.07,56.77,13408000.0,002929.SZ,20260715,润建股份,NA,CNY
55.89,58.53,55.26,55.67,13228600.0,002929.SZ,20260716,润建股份,NA,CNY
55.28,55.67,50.1,50.1,15642000.0,002929.SZ,20260717,润建股份,NA,CNY
51.61,55.04,48.11,50.57,20099300.0,002929.SZ,20260720,润建股份,NA,CNY
50.8,52.55,46.4,52.08,20476200.0,002929.SZ,20260721,润建股份,NA,CNY
53.0,54.59,50.9,51.48,20194500.0,002929.SZ,20260722,润建股份,NA,CNY
51.27,53.69,50.75,51.79,17672100.0,002929.SZ,20260723,润建股份,NA,CNY
50.6,51.55,49.61,49.9,11650800.0,002929.SZ,20260724,润建股份,NA,CNY
49.89,51.38,49.1,51.28,10258200.0,002929.SZ,20260727,润建股份,NA,CNY
50.0,51.13,49.1,49.36,11119600.0,002929.SZ,20260728,润建股份,NA,CNY
49.35,49.85,45.94,47.26,14325500.0,002929.SZ,20260729,润建股份,NA,CNY
46.72,47.72,43.14,43.61,13791600.0,002929.SZ,20260730,润建股份,NA,CNY
46.0,47.97,45.01,47.97,15777500.0,002929.SZ,20260731,润建股份,NA,CNY
49.01,50.43,48.5,49.1,16430800.0,002929.SZ,20260803,润建股份,NA,CNY
50.15,54.01,50.11,54.01,15549400.0,002929.SZ,20260804,润建股份,NA,CNY
55.95,58.22,55.1,57.77,26706300.0,002929.SZ,20260805,润建股份,NA,CNY
57.0,58.75,56.43,57.22,20194500.0,002929.SZ,20260806,润建股份,NA,CNY
57.0,58.33,55.7,57.91,15773400.0,002929.SZ,20260807,润建股份,NA,CNY
57.92,58.3,55.88,56.85,11098100.0,002929.SZ,20260810,润建股份,NA,CNY
56.29,57.07,53.99,55.2,13852600.0,002929.SZ,20260811,润建股份,NA,CNY
57.0,57.85,54.07,54.84,15936500.0,002929.SZ,20260812,润建股份,NA,CNY
56.36,60.1,55.28,55.3,26129300.0,002929.SZ,20260813,润建股份,NA,CNY
55.35,57.36,54.27,57.01,23579100.0,002929.SZ,20260814,润建股份,NA,CNY
57.04,58.56,55.8,58.48,23323600.0,002929.SZ,20260817,润建股份,NA,CNY
57.39,58.33,55.56,57.9,17792700.0,002929.SZ,20260818,润建股份,NA,CNY
56.0,56.17,52.6,52.98,16989800.0,002929.SZ,20260819,润建股份,NA,CNY
54.0,55.98,52.65,55.21,13952500.0,002929.SZ,20260820,润建股份,NA,CNY
